timestamp,Q
2026-02-14,2759.38
2026-02-15,3703.61
2026-02-16,4243.08
2026-02-17,4204.47
2026-02-18,4230.67
2026-02-19,4422.79
2026-02-20,4585.44
2026-02-21,4666.12
2026-02-22,4660.03
2026-02-23,4602.61
2026-02-24,4858.81
2026-02-25,5349.42
2026-02-26,5508.50
2026-02-27,5376.58
2026-02-28,5040.10
2026-03-01,4574.88
2026-03-02,4061.04
2026-03-03,3522.18
2026-03-04,3132.51
2026-03-05,2853.00
2026-03-06,2639.03
2026-03-07,2469.05
2026-03-08,2346.06
2026-03-09,2218.67
2026-03-10,2122.45
2026-03-11,2032.94
2026-03-12,1968.93
2026-03-13,1924.11
2026-03-14,1960.51
2026-03-15,2060.74
2026-03-16,2199.72
2026-03-17,2280.38
2026-03-18,2283.00
